0,[1.3528764e-04 4.8234946e-01 1.6447800e-01 6.8010467e-01],2.0,0.9827717,2.92189621925354
0,[0.69930303 0.41125143 0.90603423 0.75125754],2.0,0.97329,2.92189621925354
0,[0.33884367 0.52348727 0.54672766 0.7770398 ],2.0,0.96996826,2.92189621925354
0,[0.31718096 0.38701937 0.536887   0.7792413 ],2.0,0.96595883,2.92189621925354
0,[0.64479226 0.32718593 0.80856496 0.57425123],2.0,0.96304506,2.92189621925354
0,[0.5737191  0.40563145 0.6621787  0.7496985 ],0.0,0.9556807,2.92189621925354
0,[0.21367566 0.33552402 0.3154165  0.51209646],2.0,0.91037637,2.92189621925354
0,[0.49467257 0.21384338 0.608312   0.45028773],7.0,0.8782897,2.92189621925354
0,[0.08708294 0.33008245 0.25890285 0.57458895],2.0,0.8286135,2.92189621925354
0,[0.51943326 0.32756212 0.5964985  0.45098904],2.0,0.81293803,2.92189621925354
0,[0.71250117 0.27994722 0.8308743  0.3969794 ],2.0,0.7507408,2.92189621925354
0,[0.32276487 0.39496624 0.5189694  0.65278494],2.0,0.67154074,2.92189621925354
0,[0.25934777 0.3054625  0.32291058 0.40478185],2.0,0.6617043,2.92189621925354
0,[0.3112218  0.28151208 0.4960133  0.5161809 ],2.0,0.6532832,2.92189621925354
0,[0.5477604  0.10127178 0.56828934 0.13070829],9.0,0.6028126,2.92189621925354
1,[0.         0.48094448 0.15355723 0.6771519 ],2.0,0.98667425,0.060553789138793945
1,[0.3066737  0.38423103 0.54026365 0.7801729 ],2.0,0.9774182,0.060553789138793945
1,[0.32125908 0.5262752  0.5326421  0.7805967 ],2.0,0.97716135,0.060553789138793945
1,[0.4895507  0.22196603 0.60328543 0.4516338 ],7.0,0.95355296,0.060553789138793945
1,[0.21402054 0.34017923 0.31184015 0.51000977],2.0,0.9384184,0.060553789138793945
1,[0.64327353 0.3238799  0.78789324 0.5702314 ],2.0,0.9089158,0.060553789138793945
1,[0.6982449  0.40778652 0.89862776 0.7478323 ],2.0,0.89454734,0.060553789138793945
1,[0.08557045 0.33369824 0.25137585 0.5768318 ],2.0,0.85829526,0.060553789138793945
1,[0.85888773 0.25111482 0.96577984 0.44747308],5.0,0.85394675,0.060553789138793945
1,[0.30793032 0.28723243 0.49428156 0.5202713 ],2.0,0.71279657,0.060553789138793945
1,[0.70351034 0.28158557 0.82369584 0.4157349 ],2.0,0.67702496,0.060553789138793945
1,[0.56732273 0.4137481  0.65494967 0.744405  ],0.0,0.67312235,0.060553789138793945
1,[0.25698227 0.30865526 0.32165134 0.4033873 ],2.0,0.66409576,0.060553789138793945
1,[0.296294   0.2894752  0.51693726 0.6535153 ],2.0,0.65509605,0.060553789138793945
2,[0.         0.4820454  0.14752017 0.6728207 ],2.0,0.9934954,0.04881739616394043
2,[0.30672598 0.52821445 0.5335009  0.77386606],2.0,0.9679405,0.04881739616394043
